,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
4123,유부김밥,cain,"33,087",02dee5aee25e20aff3b8b88ed9c0d5e0,이세일,41.0,54.0,34.9,37.4,,,,,,,,,,,,,
4124,미팅블레,cain,"33,087",0081bcfbaa5f2fe849fa35a25a339993,훈민둥절,37.0,54.0,27.5,30.8,,,,,,,,,,,,,
4125,DORAHA,casillas,"33,087",0fca6e50ad8e0756edaff83d2c4aff12,도라하,38.0,136.0,33.6,26.5,결전의 둔기 - 팔라딘,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,어댑터블 투톤 링,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
4126,신놀,prey,"33,087",1103145ea3991e977c7d4f783f15bf84,구멍난가족,36.0,86.0,23.1,29.0,,,,,,,,,,,,,
4127,칠식이다,diregie,"33,087",dbe554f1f61641334f01071a984ebaaa,칠식모험단,37.0,14.0,33.6,37.2,,,,,,,,,,,,,
4128,샤이베라,diregie,"33,087",e876a857355d8bd3d09331109a8d092c,달빛속의유생,43.0,114.0,38.1,34.9,결전의 십자가 - 크루세이더(여),쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,쿨링 서포트 벨트,절대감각의 방위구,포인트 레이더 암릿,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,
4129,넨푸염,cain,"33,087",f5e2d89a20594319c2bc1b60f682288b,후푸염,37.0,24.0,40.3,39.2,근원을 삼킨 너클,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
4130,산둥,diregie,"33,087",f9eba6fab498d533cb025fd4950d6f71,산둥,38.0,24.0,31.7,29.9,,,,,,,,,,,,,
4131,버엌,bakal,"33,087",ff0bde85070cd46de8600c18bd43fd12,교차점,41.0,54.0,40.9,36.3,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
4132,한성진,siroco,"33,087",3205c8658ecb695c0faf0a817a9c8907,한두잔,42.0,49.0,28.8,30.5,,,,,,,,,,,,,
4133,감명도,cain,"33,087",2a0b48de782d3c8766cbb5987caf9743,늦어,39.0,160.0,30.1,26.5,,,,,,,,,,,,,
4134,엘미냥이,cain,"33,087",af6fbe2f7ce76d013c6a8096c7337b99,성당누나,38.0,83.0,32.3,39.9,근원을 삼킨 로드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,엔트 정령의 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
4135,:眞:마제스티,cain,"33,087",bbaa952f42fc76e19a388405e8ec95cc,극발검술무형참,43.0,24.0,37.7,39.0,,,,,,,,,,,,,
4136,르페이지,siroco,"33,086",b69c0d4e945d7a7c37c2b532de4c67d7,Kaelus,41.0,13.0,30.8,32.9,,,,,,,,,,,,,
4137,동글단추,bakal,"33,086",b5ce6bd84f2b3a1bc723652a24794c4d,단추상자,40.0,169.0,22.3,27.4,,,,,,,,,,,,,
4138,멸악참수,bakal,"33,086",b35f73263daeefaee7762a0fea43252d,쭈,40.0,116.0,31.3,34.7,,,,,,,,,,,,,
4139,흑우왔니,cain,"33,086",92dbc3ecb402c7be9f6e1e47f0ea6bb0,노아패밀리,38.0,61.0,35.1,30.9,결전의 빗자루 - 인챈트리스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,생명이 담긴 잔,거짓 속의 거짓,황혼의 성단,
4140,Ж아레스,cain,"33,086",8bba064cdc4bf15d9cbb6da5b8c224dc,신들의성전,45.0,89.0,32.0,32.6,,,,,,,,,,,,,
4141,오늘저,hilder,"33,086",a4235e0634c916a2319e8469d5b3736b,팬택골렘,38.0,34.0,35.5,37.3,,,,,,,,,,,,,
4142,위장자무서웡,cain,"33,086",a466dd43e2c1112913f9df3fddf412e1,차가두대면차두리,39.0,79.0,33.8,33.2,,,,,,,,,,,,,
4143,사과해줘요,cain,"33,086",7ec15d6329143cd79b50ad6b954c7c18,충주사과축제,35.0,92.0,24.9,30.3,,,,,,,,,,,,,
4144,라임사과Ŧ,diregie,"33,086",8836030b76b838d91fa13024a3ecfb34,나의라임사과나무,38.0,14.0,28.8,33.0,,,,,,,,,,,,,
4145,ㅁ보스ㅁ,siroco,"33,086",7bb962e9a4d3f43d156e044b0aa66020,이름있는,41.0,161.0,22.5,31.0,결전의 스태프 - 소환사,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,죽음을 부르는 관,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
