,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
3415,치냥,diregie,"33,121",d4eaf8c530a883ef6ee9e92660c0be48,솜묘,34.0,118.0,31.5,32.4,,,,,,,,,,,,,
3416,너좀치더라?,bakal,"33,121",8fe76e7cc59858ea707879dec8c5c4f9,비어폰,40.0,39.0,25.8,33.0,,,,,,,,,,,,,
3417,킬뽀인또,cain,"33,121",94e61582ed54962b920f8dce4639ecea,울끈불끈쥐,40.0,44.0,25.3,30.9,,,,,,,,,,,,,
3418,용녀와같이,diregie,"33,121",937601976adbfe73ebd3948c6da4729d,최무릎,43.0,69.0,27.0,26.8,근원을 삼킨 광창,리버시블 레더 코트,끝을 바라보는 시선,라이트 어댑터 팬츠,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,전술 레이더망 링,굴착 강화 파츠,잿빛의 묘상석,아크로매틱 룸버스,금룡 : 무한한 빛의 결계
3419,스티카,cain,"33,121",6f39f67fe0e37b48e58da536eca81b02,NL,41.0,69.0,36.7,39.7,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3420,김메기렝,cain,"33,121",7bdd482e48d1ffa1e2b960fc31dcec2e,그럴수도이씀,33.0,89.0,35.4,38.9,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3421,도트인챈,diregie,"33,121",4c41b7a208961d40cc75bd9b2c5f7eeb,도씨패밀리,40.0,104.0,45.2,42.9,,,,,,,,,,,,,
3422,스파이뎌맨,cain,"33,121",4492cbdd3892de00f6c304a0a14f5b03,모험을시작한당,1.0,34.0,33.1,34.3,,,,,,,,,,,,,
3423,버프필요해AW,prey,"33,120",bce3c55832cb4716f05e23d3236eee37,최가네모험단43,36.0,29.0,32.9,29.5,,,,,,,,,,,,,
3424,동케,prey,"33,120",aacb63f70cfb821074d0df0a695da9ed,동케,17.0,54.0,33.6,31.5,,,,,,,,,,,,,
3425,nanory,cain,"33,120",bbf2ada87c659ba4e542da917ea6cb3f,두아리파,30.0,44.0,31.5,35.3,,,,,,,,,,,,,
3426,GAYMU,casillas,"33,120",af9637bfb66afad1b0e40e46a0eaba4a,마와마와마와렝,39.0,54.0,31.2,37.9,,,,,,,,,,,,,
3427,한방에훅간디,hilder,"33,120",2d71220febfda7c92aa6eb92662c8887,수창장애,39.0,89.0,33.1,39.4,결전의 너클 - 넨마스터(여),리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
3428,두배가됐지요,cain,"33,120",22c9bce754590f1ffcc58a817b3821b1,무브킬러,42.0,136.0,31.4,26.4,결전의 십자가 - 크루세이더(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,흑룡 : 끝없는 암흑의 굴레
3429,분벽,cain,"33,120",30e7c8ca2de5a17f55c3f24b07265a78,20161010,35.0,100.0,23.2,32.1,,,,,,,,,,,,,
3430,『K』염황,cain,"33,120",264f797023352416261500c93ad963a6,별빛흩날리는,37.0,111.0,25.1,33.8,,,,,,,,,,,,,
3431,眞:블레이드.,siroco,"33,120",ed30d4b41cc1055c562ecad3b3b54b6b,isnice,39.0,54.0,20.6,26.8,,,,,,,,,,,,,
3432,바른손스파,cain,"33,120",fe8828728eee9b6f59de59e9b6bc0514,바샤시르,33.0,14.0,33.6,32.9,,,,,,,,,,,,,
3433,펑파쿠노,cain,"33,120",f7d8064e3915a97fa373028ec7d8c653,2020경자년,40.0,68.0,19.0,30.8,,,,,,,,,,,,,
3434,약상골너구리,prey,"33,120",dc4ab22a72a5de0c4b6eeaaaa7cc6723,서울싸커대표,41.0,14.0,29.5,33.1,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
3435,로킥이울어,cain,"33,120",dcfa003fad3635877082c64e483afd07,KickNPush,40.0,95.0,25.8,26.5,,,,,,,,,,,,,
3436,엄청약하네,cain,"33,120",de7b06eebbe6bb3cb6301f9d7bc9d813,올바른자세,38.0,99.0,30.2,25.5,,,,,,,,,,,,,
3437,버복치환자,diregie,"33,120",5d3b9e7ac0b61eefa19cf070ca94dd82,환자팸,40.0,89.0,32.5,30.1,,,,,,,,,,,,,
3438,와이냥,cain,"33,120",6b6817c49d979add589c1d7cb6721e87,와이씨리즈,38.0,149.0,34.5,29.8,,,,,,,,,,,,,
3439,일격로드,siroco,"33,120",61bd326401b39aaa68ee5d60efd34eb2,일격태권,39.0,69.0,18.3,27.4,,,,,,,,,,,,,
3440,펭하이,diregie,"33,120",57e4f77ae6b7b99f40a4cd6ab39b6717,설녀아스타로스,1.0,123.0,25.8,29.8,,,,,,,,,,,,,
3441,못섕긴이도경,prey,"33,120",7a61c5f7040a40b67227bc09d664d397,이도경과아이들,37.0,69.0,25.1,30.7,,,,,,,,,,,,,
3442,신에게닿기를,diregie,"33,120",d7be39c8786cdfcec9c98f55869b3da9,서브클랜,39.0,34.0,31.5,28.1,,,,,,,,,,,,,
3443,쩡쩡호호,anton,"33,120",d734d955556829bc2daadf44e30ed7be,영천시장님,37.0,44.0,25.0,30.5,,,,,,,,,,,,,
3444,윤보랭,prey,"33,120",ce2790e690289eb2c8af264c836a0155,C0DEBLUE,40.0,44.0,23.6,30.5,근원을 삼킨 코어 블레이드,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,어둠을 먹는 심장,타락한 영혼,흑룡 : 끝없는 암흑의 굴레
3445,심어벵,anton,"33,120",c1f845290d153371c64f2873776d571f,simchi,40.0,157.0,33.7,33.9,근원을 삼킨 낫,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3446,뒷골목패리스,bakal,"33,120",8b8e3b74106173d2653478cde3eb548b,노을비,40.0,14.0,40.0,38.8,,,,,,,,,,,,,
3447,AFTV_권이,cain,"33,119",a0e3c1f92e2551134860b27e5734b6a2,마하발톱에낀때,40.0,34.0,28.1,29.7,,,,,,,,,,,,,
3448,SHOTTIME,bakal,"33,119",a124d2f06f57b5818d9ac5b00501457e,Skrlllex,36.0,81.0,29.1,33.7,,,,,,,,,,,,,
3449,개사기쟝,bakal,"33,119",f93f1e809570551e3bd47b815e1cef29,LeArc,40.0,109.0,31.8,38.9,,,,,,,,,,,,,
3450,벽꽝붕권,cain,"33,119",b5149ea3b182f90471632a44d64f4e4e,매드덕,39.0,19.0,27.8,29.9,,,,,,,,,,,,,
3451,내가장성재,casillas,"33,119",b7c102668b48acc12acab54ed227dab0,내가장성재다,24.0,34.0,26.1,34.1,,,,,,,,,,,,,
3452,조지루카스,hilder,"33,119",abd8342d8df1e548abb7564c43920c67,핼리우드,42.0,164.0,36.2,39.4,결전의 도 - 소울브링어,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3453,에반쨈,diregie,"33,119",096139d27901757187f49ca31752981f,화끈한동영상,39.0,74.0,32.1,28.6,결전의 십자가 - 크루세이더(여),고대 심연의 로브,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,파괴된 신념,폭룡왕의 지배 - 공포,전술 드론 콘트롤러 암릿,뚜렷해지는 소멸된 사념,굴착 강화 파츠,평화를 위한 투쟁,시각의 관점,흑룡 : 끝없는 암흑의 굴레
3454,가요이,hilder,"33,119",19b5ac48b943b09fde27396db828f5ff,touristification,35.0,189.0,41.9,40.3,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,야수의 함성,천계 연합군 : 밝게 빛나는 희망
3455,리얼천혜향,siroco,"33,119",076b676564fdee7a4f67a2087f60d7d6,리얼플레인,40.0,44.0,26.2,34.3,근원을 삼킨 로드,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,금룡 : 무한한 빛의 결계
3456,적당한배메,cain,"33,119",2272f1f3c29a519b1b3d54250348a4ca,적당한모험단ver1,42.0,59.0,20.5,26.3,,,,,,,,,,,,,
3457,Sir_슈터,cain,"33,119",35f22cb52e9f24e3aa37ddd467684968,SiriusB,32.0,44.0,34.7,33.4,,,,,,,,,,,,,
3458,전주불빠따,prey,"33,119",c93a909a5f81d407e99fc1865a1c0864,ioir,38.0,44.0,33.5,33.1,,,,,,,,,,,,,
3459,멀패,prey,"33,119",c0cf4471f3ed16022561ed886a99d3d9,요구르팅,43.0,140.0,31.6,33.6,,,,,,,,,,,,,
3460,깨똥이,casillas,"33,118",6ee7caef004988ed3e6b67865e41e7ad,깨뚱이,41.0,59.0,34.4,37.2,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3461,오레키호타로,diregie,"33,118",36f0df58f069c7f48f1e0c1db0320287,절영,40.0,126.0,22.4,30.5,,,,,,,,,,,,,
3462,납도패치,prey,"33,118",42fbf3ff7924b5e71348c14141813a73,국산방사능홍차,39.0,105.0,29.1,33.9,,,,,,,,,,,,,
3463,싸우자다다,cain,"33,118",b0054d9dd27a6a1b2f6242b8d44c1c0a,싸우자언능,40.0,24.0,37.4,38.0,,,,,,,,,,,,,
3464,딱총거너,cain,"33,118",b25b64a1bcd2c2d12dbda6843cfbd627,KBI,38.0,14.0,35.3,39.2,근원을 삼킨 보우건,엔트 정령의 상의,매니퓰레이션,악몽을 이겨낸 승전보,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
3465,냉동창고주인,cain,"33,118",92c5db1560fd706e4a01fdf54c36bae5,세번째돌,42.0,111.0,27.1,29.8,,,,,,,,,,,,,
3466,같이달려벤터,cain,"33,118",95c260cf0b61b9f03a11b79380fb7a79,같이달려2022,41.0,54.0,35.1,33.2,,,,,,,,,,,,,
3467,신뢰의실수,siroco,"33,118",f66fd898226ed118eb1ad50d44c75636,쏠랑쇽샥,41.0,34.0,30.5,29.5,,,,,,,,,,,,,
3468,눈송라스,cain,"33,118",f230a586929104500cdb9c692e64625f,snowflakeye,36.0,79.0,35.8,34.1,근원을 삼킨 낫,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3469,하정윤,prey,"33,118",dc7c8df813ad558f98a4f6a9f54d10b7,지옥냔욕찌,40.0,59.0,25.8,34.2,근원을 삼킨 로드,탐험가의 노련한 코트,유쾌함 속의 열망,깨지지 않는 빛바랜 신념,과거를 뒤로 한 전진,별을 담는 벨트,아토믹 코어 네클레스,흑화의 구속 팔찌,어댑터블 투톤 링,굴착 강화 파츠,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
3470,화약냄새는,cain,"33,118",17ffc6e09674acf20d7f28821cede7ce,희망용병단,37.0,84.0,28.2,33.6,,,,,,,,,,,,,
3471,극한의창,siroco,"33,118",1633a440f0a4fd8aeb5263d92e5926de,삼둥이모험단,44.0,245.0,36.9,39.2,결전의 로드 - 빙결사,어릴적 꿈꿔온 무대,화려한 청색의 음율,드래곤 라이더,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,에너지 서치 링,꿈같은 환호성,두근거리는 열정,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
3472,Mo슬레이어oN,diregie,"33,118",2443e5808e66636edac25e5ef420c81b,쏘확행,44.0,76.0,31.9,30.2,결전의 도 - 데몬슬레이어,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,미지의 황금비석,황혼의 성단,
3473,까시어썰트-,prey,"33,118",d303ec776a4a24a3b30ea2dd8497e0cc,까시모험단,41.0,126.0,28.1,29.9,결전의 자동권총 - 어썰트,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
3474,하테하테나방,bakal,"33,118",cf45fce8aa64dfda2345804c5d8fe5f8,꿈척꿈척,37.0,191.0,34.7,32.2,결전의 빗자루 - 인챈트리스,숲속의 마녀 상의,주체할 수 없는 낡은 규칙,숲속의 마녀 하의,숲속의 마녀 신발,숲속의 마녀 벨트,숲속의 마녀 목걸이,엔트 정령의 팔찌,이동하는 요새,굴착 강화 파츠,숲속의 마녀 정령석,시각의 관점,흑룡 : 끝없는 암흑의 굴레
3475,팡팡신나요,prey,"33,117",c9941b34a22b0f78cbb415277f76ca7e,메가스키,38.0,126.0,27.0,28.6,,,,,,,,,,,,,
3476,Miyuki♥,hilder,"33,117",f210020e1a849fc6a40cd8e7e708ed4d,Shimizu,38.0,54.0,35.4,31.5,,,,,,,,,,,,,
3477,재련케푸레야,cain,"33,117",bf90cda4fcb0584ced46a0044a4b82fa,굇수파티,39.0,19.0,25.1,30.4,,,,,,,,,,,,,
3478,고은우,anton,"33,117",bb417e7fc5762fdb5c020c97645d65b5,하늘별바다,38.0,34.0,22.3,30.5,,,,,,,,,,,,,
3479,바통,diregie,"33,117",709d3817bcde4dd5d78630458db6f549,12시30분,39.0,301.0,36.5,31.3,근원을 삼킨 클로,하이테크 전술지휘 아머,아픔을 감싸는 위엄,깨지지 않는 빛바랜 신념,일렉트릭 프루프 부츠,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,피어오르는 광기,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
3480,검신반듯,cain,"33,117",862eb15f4479baeed5d5d3522cb81f55,반듯함,39.0,54.0,37.7,38.9,근원을 삼킨 광검,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3481,래홍,bakal,"33,117",97336934586b8f35c7e37df558b90651,려려,39.0,109.0,35.7,38.8,근원을 삼킨 빗자루,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
3482,여런누리,diregie,"33,117",95190ef34f36fcc907391734532cdbfa,모험단누리,40.0,13.0,42.1,41.5,근원을 삼킨 핸드캐넌,블루 베릴 아머,끝을 바라보는 시선,침식되는 이성,소망을 향한 움직임,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,들이치는 희미한 탄식,흑룡 : 끝없는 암흑의 굴레
3483,파이널꽃돼징,siroco,"33,117",955afaea60139fa4419b03a569df9339,유이,41.0,86.0,24.0,26.2,,,,,,,,,,,,,
3484,blossom_AS,casillas,"33,117",8c508abee3547bd1013edb324f3535ec,포포리포,37.0,71.0,32.5,29.5,,,,,,,,,,,,,
3485,F.War_진룡*,cain,"33,117",a31ff064c76f56c9de784ac63b0ea196,Y2JFreeWar,41.0,44.0,24.6,27.2,,,,,,,,,,,,,
3486,던전에서.avi,diregie,"33,117",2d3572e933b7f3ecb070d3192a846794,얀데레가좋아,45.0,4.0,39.9,38.1,결전의 십자가 - 크루세이더(남),리버시블 레더 코트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,억제된 마력의 팔찌,어댑터블 투톤 링,무모하지만 합리적인 작전,어둠을 먹는 심장,시각의 관점,흑룡 : 끝없는 암흑의 굴레
3487,재앙이하야해,prey,"33,117",2c258ae43715730e5b9d9f6d05539f2f,재명인나라를찢어,40.0,109.0,32.0,36.6,근원을 삼킨 보우건,컨퓨즈드 코어 슈트,천재 기술자의 보호 마스크,굳건한 믿음,일렉트릭 프루프 부츠,별을 담는 벨트,기품의 금빛 장신구,찬란한 금장 팔찌,이동하는 요새,옵티컬 컴뱃 글래스,피어오르는 광기,인력의 법칙,진룡 : 무거운 철의 투지
3488,짜피옵티,cain,"33,117",2b0f7c0571b059305668aeed2950956b,짜피안뜸,40.0,199.0,29.3,35.9,,,,,,,,,,,,,
3489,신파일러,cain,"33,117",6b2a37ba63c05ecf4fcfddcd22b9da1b,t54gtr,32.0,100.0,26.4,34.5,,,,,,,,,,,,,
3490,Glaster,hilder,"33,117",623d0d650e0fe73fbc2407ab6ff3c664,Neraz,41.0,151.0,25.5,30.5,결전의 봉 - 스위프트 마스터,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,굴착 강화 파츠,미지의 황금비석,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
3491,총개약하게쏨,prey,"33,117",5e510ceda338d85ecb4fb8f5acadb5a3,라플루마,40.0,39.0,34.8,39.4,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,죽음을 부르는 관,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3492,듀크배메,diregie,"33,116",661a776da4ef5f57710716398089f671,듀크모험단,38.0,24.0,25.6,30.8,,,,,,,,,,,,,
3493,에반할게유,cain,"33,116",63e29c6d94786639739b0fe256543e26,규규몽,41.0,74.0,31.9,27.6,,,,,,,,,,,,,
3494,허약아,cain,"33,116",53dab70afc886fd31515529c138c90e6,ParkHaEun,34.0,4.0,32.0,33.6,근원을 삼킨 완드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,가이드 라인 벨트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
3495,코리안후식,bakal,"33,116",6a1670586f8ff5e043c115de423fcd27,전세계후식,14.0,139.0,28.2,25.8,,,,,,,,,,,,,
3496,AGaPe.,diregie,"33,116",6dc3eaeae0dcf951b118af4ecce4fe04,슬라네쉬,37.0,116.0,24.6,30.5,결전의 봉 - 배틀메이지,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
3497,ㅂㅓ찌,diregie,"33,116",3d9bdb2150d367f20981bf43b1561696,nonodi,22.0,54.0,30.5,30.0,결전의 빗자루 - 인챈트리스,얼티밋 제너레이터,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
3498,.검제_,prey,"33,116",3dce8e3dcdd1686796a03c05239ed6bf,마오리모험단,38.0,69.0,25.5,30.6,,,,,,,,,,,,,
3499,하밋,cain,"33,116",bb68f812f4c4412245bd6941a1baa301,Fony,39.0,44.0,31.8,27.5,,,,,,,,,,,,,
3500,냐옹냥냥냥,casillas,"33,116",ba406c82d3ce49989c1526a2765eb3a8,마에카와미쿠냥,39.0,101.0,26.2,30.4,,,,,,,,,,,,,
3501,산타는스커,diregie,"33,116",a874064265769c63c70ca9c6e6b5f72c,산좀타봄,38.0,169.0,42.7,41.4,근원을 삼킨 권투글러브,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3502,뭐키워야하노,siroco,"33,116",b3afabc1d42b5399f998d618d1f80f9c,19800,36.0,39.0,36.9,36.3,결전의 도 - 블레이드,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,썬더 레지스트 벨트,검은 별,억제된 마력의 팔찌,반짝이는 음율,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3503,썹아슈,hilder,"33,116",d6b6558e32c9569193cbb4625a32fcfb,썹,42.0,103.0,35.4,39.5,근원을 삼킨 창,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
3504,그으브,casillas,"33,116",c66fc162d509625fe84125b00e1ec188,뇌절전문,42.0,79.0,39.5,39.0,근원을 삼킨 중검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
3505,KalatheBlack,prey,"33,116",f3662b1d929c3be748069edf04493718,WinterLace,39.0,79.0,26.4,31.4,,,,,,,,,,,,,
3506,편애도미,cain,"33,116",e5e823313a1d910cdbc081ce64de81d2,도미님,37.0,139.0,32.9,28.9,,,,,,,,,,,,,
3507,┼버서커,cain,"33,116",f9875c61a64275e877b2b0c2ca046adb,똥,39.0,34.0,32.4,30.0,,,,,,,,,,,,,
3508,바프일대기,cain,"33,116",8597adc7e2a126198c410c7627232f6e,경찰후보생,38.0,86.0,30.2,26.7,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,골드 윙 반지,용살자의 증표 - 용골 뿔피리,어둠을 먹는 심장,폭발형 : 소형 전술 플레어,흑룡 : 끝없는 암흑의 굴레
3509,테스타노트,prey,"33,116",7fbe6dff66ec6efc92e7584a4b20a2b0,맨아이트러스트,40.0,161.0,27.8,30.7,결전의 소검 - 소드마스터,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
3510,Mirado,anton,"33,116",84b9e6b071e51b98f6ea7feb621f17bf,매원,38.0,94.0,3.7,12.8,,,,,,,,,,,,,
3511,무료메뉴,cain,"33,116",72fe826218e7c4fa9023513037631ab4,이마리야,37.0,79.0,37.1,32.7,,,,,,,,,,,,,
3512,인파점심밥,cain,"33,116",1db9ca485ad2139e30255ee655776853,저녘밥,39.0,44.0,31.8,32.8,근원을 삼킨 토템,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잿빛의 묘상석,폭풍을 삼킨 에너지,
3513,※월하령※,siroco,"33,116",114a2575e4ef8e45569e5cd8e7260281,쇠옌은ㅤㅇㅠㅈ띤엄,42.0,15.0,27.2,25.8,,,,,,,,,,,,,
3514,볼트MX_3,prey,"33,116",121a91410d2ae2630aa6a33cf6123fdc,디퓨젼,40.0,111.0,35.9,36.7,근원을 삼킨 자동권총,흙으로 빚은 자연,피어나는 자연의 삶,로보티카 컴뱃 팬츠,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,생명이 담긴 잔,억류된 혼의 령주,타락한 영혼,금룡 : 무한한 빛의 결계
3515,코미키,cain,"33,116",06edb850dc8e1c4576d6efd07ec7f7ff,쿠시온,32.0,166.0,17.9,26.4,,,,,,,,,,,,,
3516,-고수리ㅏ-,cain,"33,116",939646ac8a49d45b31344f9e83b54386,고광모험단,38.0,54.0,42.4,40.5,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,
3517,ExceedFury,cain,"33,116",9c6ddd58c4dcc49b5b7c3583f7b3242e,Exceedcharge,37.0,106.0,43.0,40.6,,,,,,,,,,,,,
3518,쫌만참아봐,cain,"33,115",9cc2093802a00bde5f7b528d4e88549b,제빵학원,38.0,34.0,31.8,28.2,,,,,,,,,,,,,
3519,나피리,cain,"33,115",9967d617c771028a0a08a74ece1e11c7,듬양,2.0,44.0,32.9,35.9,,,,,,,,,,,,,
3520,유기농양파,diregie,"33,115",98369f4b682f735972e13521411e769f,청출어람청어람,40.0,136.0,33.2,30.2,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
